#location_id, days, frac_S, frac_I, frac_R
1 0 0.989000 0.011000 0.000000
1 1 0.988000 0.012000 0.000000
1 2 0.986000 0.014000 0.000000
1 3 0.986000 0.014000 0.000000
1 4 0.985000 0.014000 0.001000
1 5 0.985000 0.014000 0.001000
1 6 0.984000 0.015000 0.001000
1 7 0.983000 0.016000 0.001000
1 8 0.980000 0.019000 0.001000
1 9 0.976000 0.023000 0.001000
1 10 0.974000 0.025000 0.001000
1 11 0.973000 0.026000 0.001000
1 12 0.969000 0.030000 0.001000
1 13 0.967000 0.030000 0.003000
1 14 0.963000 0.034000 0.003000
1 15 0.961000 0.035000 0.004000
1 16 0.960000 0.035000 0.005000
1 17 0.957000 0.038000 0.005000
1 18 0.953000 0.042000 0.005000
1 19 0.948000 0.045000 0.007000
1 20 0.942000 0.051000 0.007000
1 21 0.940000 0.053000 0.007000
1 22 0.937000 0.056000 0.007000
1 23 0.934000 0.058000 0.008000
1 24 0.930000 0.062000 0.008000
1 25 0.926000 0.065000 0.009000
1 26 0.918000 0.072000 0.010000
1 27 0.913000 0.075000 0.012000
1 28 0.910000 0.078000 0.012000
1 29 0.902000 0.086000 0.012000
1 30 0.897000 0.091000 0.012000
1 31 0.888000 0.098000 0.014000
1 32 0.878000 0.108000 0.014000
1 33 0.874000 0.111000 0.015000
1 34 0.867000 0.115000 0.018000
1 35 0.861000 0.118000 0.021000
1 36 0.851000 0.127000 0.022000
1 37 0.840000 0.137000 0.023000
1 38 0.827000 0.149000 0.024000
1 39 0.817000 0.157000 0.026000
1 40 0.805000 0.169000 0.026000
1 41 0.792000 0.181000 0.027000
1 42 0.775000 0.197000 0.028000
1 43 0.759000 0.212000 0.029000
1 44 0.746000 0.224000 0.030000
1 45 0.733000 0.233000 0.034000
1 46 0.718000 0.243000 0.039000
1 47 0.700000 0.259000 0.041000
1 48 0.691000 0.267000 0.042000
1 49 0.675000 0.279000 0.046000
1 50 0.657000 0.293000 0.050000
1 51 0.650000 0.295000 0.055000
1 52 0.636000 0.303000 0.061000
1 53 0.618000 0.319000 0.063000
1 54 0.606000 0.325000 0.069000
1 55 0.590000 0.338000 0.072000
1 56 0.574000 0.351000 0.075000
1 57 0.556000 0.367000 0.077000
1 58 0.537000 0.383000 0.080000
1 59 0.526000 0.391000 0.083000
1 60 0.509000 0.402000 0.089000
1 61 0.493000 0.416000 0.091000
1 62 0.475000 0.428000 0.097000
1 63 0.463000 0.434000 0.103000
1 64 0.449000 0.441000 0.110000
1 65 0.436000 0.452000 0.112000
1 66 0.420000 0.466000 0.114000
1 67 0.407000 0.473000 0.120000
1 68 0.399000 0.478000 0.123000
1 69 0.391000 0.482000 0.127000
1 70 0.379000 0.490000 0.131000
1 71 0.363000 0.497000 0.140000
1 72 0.354000 0.503000 0.143000
1 73 0.344000 0.506000 0.150000
1 74 0.331000 0.513000 0.156000
1 75 0.316000 0.523000 0.161000
1 76 0.304000 0.529000 0.167000
2 0 0.980000 0.020000 0.000000
2 1 0.980000 0.020000 0.000000
2 2 0.979000 0.021000 0.000000
2 3 0.977000 0.023000 0.000000
2 4 0.974000 0.025000 0.001000
2 5 0.973000 0.026000 0.001000
2 6 0.972000 0.026000 0.002000
2 7 0.968000 0.030000 0.002000
2 8 0.964000 0.034000 0.002000
2 9 0.963000 0.035000 0.002000
2 10 0.961000 0.037000 0.002000
2 11 0.957000 0.041000 0.002000
2 12 0.953000 0.045000 0.002000
2 13 0.951000 0.046000 0.003000
2 14 0.949000 0.046000 0.005000
2 15 0.945000 0.049000 0.006000
2 16 0.943000 0.051000 0.006000
2 17 0.938000 0.055000 0.007000
2 18 0.936000 0.057000 0.007000
2 19 0.934000 0.059000 0.007000
2 20 0.930000 0.063000 0.007000
2 21 0.927000 0.066000 0.007000
2 22 0.919000 0.073000 0.008000
2 23 0.913000 0.079000 0.008000
2 24 0.909000 0.083000 0.008000
2 25 0.902000 0.090000 0.008000
2 26 0.894000 0.098000 0.008000
2 27 0.887000 0.105000 0.008000
2 28 0.875000 0.115000 0.010000
2 29 0.868000 0.121000 0.011000
2 30 0.864000 0.122000 0.014000
2 31 0.855000 0.131000 0.014000
2 32 0.844000 0.140000 0.016000
2 33 0.824000 0.159000 0.017000
2 34 0.812000 0.170000 0.018000
2 35 0.800000 0.180000 0.020000
2 36 0.783000 0.194000 0.023000
2 37 0.773000 0.201000 0.026000
2 38 0.766000 0.208000 0.026000
2 39 0.752000 0.221000 0.027000
2 40 0.746000 0.227000 0.027000
2 41 0.728000 0.242000 0.030000
2 42 0.712000 0.257000 0.031000
2 43 0.698000 0.268000 0.034000
2 44 0.683000 0.282000 0.035000
2 45 0.667000 0.296000 0.037000
2 46 0.653000 0.307000 0.040000
2 47 0.635000 0.323000 0.042000
2 48 0.617000 0.338000 0.045000
2 49 0.602000 0.350000 0.048000
2 50 0.589000 0.361000 0.050000
2 51 0.576000 0.373000 0.051000
2 52 0.564000 0.381000 0.055000
2 53 0.547000 0.394000 0.059000
2 54 0.537000 0.397000 0.066000
2 55 0.525000 0.405000 0.070000
2 56 0.509000 0.418000 0.073000
2 57 0.496000 0.429000 0.075000
2 58 0.481000 0.439000 0.080000
2 59 0.469000 0.445000 0.086000
2 60 0.450000 0.459000 0.091000
2 61 0.438000 0.467000 0.095000
2 62 0.417000 0.483000 0.100000
2 63 0.403000 0.493000 0.104000
2 64 0.385000 0.511000 0.104000
2 65 0.365000 0.525000 0.110000
2 66 0.348000 0.537000 0.115000
2 67 0.330000 0.552000 0.118000
2 68 0.316000 0.563000 0.121000
2 69 0.303000 0.569000 0.128000
2 70 0.289000 0.578000 0.133000
2 71 0.275000 0.587000 0.138000
2 72 0.267000 0.584000 0.149000
2 73 0.251000 0.588000 0.161000
2 74 0.242000 0.592000 0.166000
2 75 0.225000 0.604000 0.171000
2 76 0.220000 0.601000 0.179000
3 0 0.986000 0.014000 0.000000
3 1 0.984000 0.016000 0.000000
